timestamp,machine_id,temperature_c,vibration_mm_s,pressure_bar,rpm,power_kw,acoustic_db,operating_hours,machine_age_years,days_since_last_maintenance,failure_within_7d
2025-07-01 00:00:00,CNC-001,65.5,1.71,155.0,1488.0,25.5,70.6,11495.0,7,0,0
2025-07-01 06:00:00,CNC-001,68.1,1.52,153.4,1515.0,24.9,71.0,11501.0,7,0,0
2025-07-01 12:00:00,CNC-001,65.5,1.65,154.3,1488.0,25.1,72.7,11506.0,7,0,0
2025-07-01 18:00:00,CNC-001,66.9,1.68,154.4,1503.0,25.0,72.2,11512.0,7,0,0
2025-07-02 00:00:00,CNC-001,68.6,1.57,157.7,1496.0,25.0,71.2,11517.0,7,1,0
2025-07-02 06:00:00,CNC-001,67.5,1.5,156.0,1495.0,25.2,73.0,11521.0,7,1,0
2025-07-02 12:00:00,CNC-001,67.2,1.69,156.6,1494.0,25.1,75.7,11526.0,7,1,0
2025-07-02 18:00:00,CNC-001,65.1,1.52,157.9,1495.0,24.7,70.5,11531.0,7,1,0
2025-07-03 00:00:00,CNC-001,67.7,1.53,155.9,1489.0,25.5,72.0,11536.0,7,2,0
2025-07-03 06:00:00,CNC-001,68.8,1.86,155.1,1498.0,25.6,71.0,11542.0,7,2,0
2025-07-03 12:00:00,CNC-001,65.2,1.52,158.8,1495.0,24.5,68.9,11548.0,7,2,0
2025-07-03 18:00:00,CNC-001,64.0,1.5,154.9,1491.0,23.8,76.0,11553.0,7,2,0
2025-07-04 00:00:00,CNC-001,67.5,1.47,152.8,1492.0,24.5,70.5,11558.0,7,3,0
2025-07-04 06:00:00,CNC-001,68.9,1.49,155.8,1488.0,24.9,70.8,11562.0,7,3,0
2025-07-04 12:00:00,CNC-001,66.3,1.59,155.3,1495.0,25.9,70.5,11568.0,7,3,0
2025-07-04 18:00:00,CNC-001,63.1,1.48,154.9,1501.0,24.3,73.0,11572.0,7,3,0
2025-07-05 00:00:00,CNC-001,65.5,1.62,156.9,1493.0,25.4,76.3,11578.0,7,4,0
2025-07-05 06:00:00,CNC-001,66.4,1.5,154.9,1482.0,25.6,69.4,11583.0,7,4,0
